idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"218","http://localhost:8080/home/","2024-12-7","19:50:11","654","5664","197.7000000104308","84.30000000447035","15.900000005960464","0","84.30000000447035","0","-1",""
"219","http://localhost:8080/home/","2024-12-7","19:50:18","645","5653","184.79999999701977","78.89999999850988","14.299999997019768","0","78.89999999850988","0","-1",""
"220","http://localhost:8080/home/","2024-12-7","19:50:24","651","5662","182.79999999701977","77.5","15.600000001490116","0","77.5","0","-1",""
"221","http://localhost:8080/home/","2024-12-7","19:50:30","655","5665","183.60000000149012","78","15.200000002980232","0","78","0","-1",""
"222","http://localhost:8080/home/","2024-12-7","19:50:37","650","5660","188.3999999910593","79.19999999552965","17.69999999552965","0","79.19999999552965","0","-1",""
"223","http://localhost:8080/home/","2024-12-7","19:50:43","647","5655","186.49999998509884","79.19999999552965","14.799999997019768","0","79.19999999552965","0","-1",""
"224","http://localhost:8080/home/","2024-12-7","19:50:49","651","5663","185.19999998807907","78.59999999403954","15.599999994039536","0","78.59999999403954","0","-1",""
"225","http://localhost:8080/home/","2024-12-7","19:50:55","645","5654","194.59999999403954","82.79999999701977","15.799999997019768","0","82.79999999701977","0","-1",""
"226","http://localhost:8080/home/","2024-12-7","19:51:02","649","5661","193.10000000149012","82.5","15.600000001490116","0","82.5","0","-1",""
"227","http://localhost:8080/home/","2024-12-7","19:51:08","643","5652","190.3999999910593","81.29999999701977","15.399999998509884","0","81.29999999701977","0","-1",""
"228","http://localhost:8080/home/","2024-12-7","19:51:14","644","5654","194.50000000745058","83.20000000298023","15.600000001490116","0","83.20000000298023","0","-1",""
"229","http://localhost:8080/home/","2024-12-7","19:51:21","646","5655","187.5","79.89999999850988","15.600000001490116","0","79.89999999850988","0","-1",""
"230","http://localhost:8080/home/","2024-12-7","19:51:27","652","5663","179.00000001490116","75.80000000447035","15.300000004470348","0","75.80000000447035","0","-1",""
"231","http://localhost:8080/home/","2024-12-7","19:51:33","652","5662","208","86.5","21.399999998509884","0","86.5","0","-1",""
"232","http://localhost:8080/home/","2024-12-7","19:51:39","645","5654","180.30000000447035","76.10000000149012","15.400000005960464","0","76.10000000149012","0","-1",""
"233","http://localhost:8080/home/","2024-12-7","19:51:46","644","5653","251.49999999254942","101.29999999701977","18.19999999552965","0","101.29999999701977","0","-1",""
