name,cpu_percent,mem_usage,mem_limit,mem_percent
1735060969,monolith,110.66,3.611GiB,4GiB,90.27
1735060969,recommendations,19.57,92.72MiB,7.654GiB,1.18
1735060969,teasers,15.15,100.4MiB,7.654GiB,1.28
1735060969,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060969,discovery,0.95,28.47MiB,7.654GiB,0.36
1735060971,monolith,107.42,3.611GiB,4GiB,90.27
1735060971,recommendations,9.90,92.52MiB,7.654GiB,1.18
1735060971,teasers,9.78,100.6MiB,7.654GiB,1.28
1735060971,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060971,discovery,0.97,28.54MiB,7.654GiB,0.36
1735060973,monolith,134.10,3.613GiB,4GiB,90.31
1735060973,recommendations,10.02,92.77MiB,7.654GiB,1.18
1735060973,teasers,16.65,101.6MiB,7.654GiB,1.30
1735060973,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060973,discovery,0.83,28.62MiB,7.654GiB,0.37
1735060975,monolith,107.97,3.613GiB,4GiB,90.32
1735060975,recommendations,12.31,92.79MiB,7.654GiB,1.18
1735060975,teasers,11.69,100.6MiB,7.654GiB,1.28
1735060975,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060975,discovery,0.66,28.67MiB,7.654GiB,0.37
1735060977,monolith,108.71,3.613GiB,4GiB,90.33
1735060977,recommendations,11.41,92.64MiB,7.654GiB,1.18
1735060977,teasers,10.35,100.6MiB,7.654GiB,1.28
1735060977,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060977,discovery,0.75,28.75MiB,7.654GiB,0.37
1735060979,monolith,131.46,3.615GiB,4GiB,90.38
1735060979,recommendations,8.01,92.62MiB,7.654GiB,1.18
1735060979,teasers,12.03,101.1MiB,7.654GiB,1.29
1735060979,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060979,discovery,1.37,28.2MiB,7.654GiB,0.36
1735060981,monolith,122.85,3.615GiB,4GiB,90.38
1735060981,recommendations,9.96,92.65MiB,7.654GiB,1.18
1735060981,teasers,8.39,101.2MiB,7.654GiB,1.29
1735060981,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060981,discovery,1.27,28.18MiB,7.654GiB,0.36
1735060983,monolith,109.74,3.616GiB,4GiB,90.39
1735060983,recommendations,15.44,92.65MiB,7.654GiB,1.18
1735060983,teasers,16.91,101.4MiB,7.654GiB,1.29
1735060983,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060983,discovery,0.94,28.3MiB,7.654GiB,0.36
1735060985,monolith,136.41,3.618GiB,4GiB,90.45
1735060985,recommendations,14.95,92.66MiB,7.654GiB,1.18
1735060985,teasers,12.47,101.8MiB,7.654GiB,1.30
1735060985,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060985,discovery,1.04,28.41MiB,7.654GiB,0.36
1735060987,monolith,109.43,3.618GiB,4GiB,90.46
1735060987,recommendations,10.62,92.69MiB,7.654GiB,1.18
1735060987,teasers,12.20,101.5MiB,7.654GiB,1.29
1735060987,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060987,discovery,0.86,28.49MiB,7.654GiB,0.36
1735060989,monolith,108.03,3.619GiB,4GiB,90.48
1735060989,recommendations,9.78,92.66MiB,7.654GiB,1.18
1735060989,teasers,11.11,101.7MiB,7.654GiB,1.30
1735060989,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060989,discovery,0.71,28.62MiB,7.654GiB,0.37
