timestamp,name,cpu_percent,mem_usage,mem_limit,mem_percent
1735068521,discovery,0.67,26.14MiB,7.654GiB,0.33
1735068526,monolith,105.82,2.888GiB,4GiB,72.21
1735068526,teasers,7.81,90.11MiB,7.654GiB,1.15
1735068526,recommendations,5.52,90.91MiB,7.654GiB,1.16
1735068526,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068526,discovery,0.59,26.66MiB,7.654GiB,0.34
1735068531,monolith,105.60,2.896GiB,4GiB,72.41
1735068531,teasers,4.97,90.3MiB,7.654GiB,1.15
1735068531,recommendations,8.95,92.05MiB,7.654GiB,1.17
1735068531,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068531,discovery,0.76,26.6MiB,7.654GiB,0.34
1735068536,monolith,105.89,2.913GiB,4GiB,72.83
1735068536,teasers,6.92,90.79MiB,7.654GiB,1.16
1735068536,recommendations,10.27,92.11MiB,7.654GiB,1.18
1735068536,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068536,discovery,0.71,26.52MiB,7.654GiB,0.34
1735068541,monolith,106.15,2.922GiB,4GiB,73.05
1735068541,teasers,6.67,91.52MiB,7.654GiB,1.17
1735068541,recommendations,7.21,92.36MiB,7.654GiB,1.18
1735068541,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068541,discovery,0.58,26.35MiB,7.654GiB,0.34
1735068546,monolith,107.87,2.937GiB,4GiB,73.42
1735068546,teasers,5.81,91.52MiB,7.654GiB,1.17
1735068546,recommendations,7.52,92.35MiB,7.654GiB,1.18
1735068546,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068546,discovery,0.56,26.59MiB,7.654GiB,0.34
1735068551,monolith,105.25,2.948GiB,4GiB,73.70
1735068551,teasers,5.02,91.36MiB,7.654GiB,1.17
1735068551,recommendations,5.90,92.4MiB,7.654GiB,1.18
1735068551,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068551,discovery,0.57,26.43MiB,7.654GiB,0.34
1735068556,monolith,104.89,2.957GiB,4GiB,73.91
1735068556,teasers,4.62,91.67MiB,7.654GiB,1.17
1735068556,recommendations,6.35,93.3MiB,7.654GiB,1.19
1735068556,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068556,discovery,1.02,25.99MiB,7.654GiB,0.33
1735068561,monolith,106.67,2.971GiB,4GiB,74.27
1735068561,teasers,4.98,91.68MiB,7.654GiB,1.17
1735068561,recommendations,5.91,93.32MiB,7.654GiB,1.19
1735068561,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068561,discovery,1.01,26.2MiB,7.654GiB,0.33
1735068566,monolith,105.01,2.976GiB,4GiB,74.41
1735068566,teasers,5.41,91.71MiB,7.654GiB,1.17
1735068566,recommendations,5.51,93.35MiB,7.654GiB,1.19
1735068566,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068566,discovery,0.57,26.5MiB,7.654GiB,0.34
1735068571,monolith,113.29,2.985GiB,4GiB,74.63
1735068571,teasers,4.81,91.59MiB,7.654GiB,1.17
1735068571,recommendations,5.22,93.4MiB,7.654GiB,1.19
1735068571,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068571,discovery,0.57,26.66MiB,7.654GiB,0.34
1735068576,monolith,117.42,2.997GiB,4GiB,74.91
1735068576,teasers,6.56,92.22MiB,7.654GiB,1.18
1735068576,recommendations,4.90,94MiB,7.654GiB,1.20
1735068576,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068576,discovery,0.64,26.45MiB,7.654GiB,0.34
1735068581,monolith,109.08,3.009GiB,4GiB,75.22
1735068581,teasers,5.65,92.16MiB,7.654GiB,1.18
1735068581,recommendations,9.99,94.24MiB,7.654GiB,1.20
1735068581,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068581,discovery,0.69,26.48MiB,7.654GiB,0.34
1735068586,monolith,105.74,3.018GiB,4GiB,75.44
1735068586,teasers,5.75,92.25MiB,7.654GiB,1.18
1735068586,recommendations,9.35,94.22MiB,7.654GiB,1.20
1735068586,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068586,discovery,0.58,27.39MiB,7.654GiB,0.35
1735068591,monolith,105.40,3.026GiB,4GiB,75.65
1735068591,teasers,9.72,92.66MiB,7.654GiB,1.18
1735068591,recommendations,8.42,95.73MiB,7.654GiB,1.22
1735068591,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068591,discovery,0.66,26.5MiB,7.654GiB,0.34
1735068596,monolith,106.91,3.043GiB,4GiB,76.06
1735068596,teasers,4.83,92.91MiB,7.654GiB,1.19
1735068596,recommendations,5.93,94.56MiB,7.654GiB,1.21
1735068596,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068596,discovery,0.64,26.77MiB,7.654GiB,0.34
1735068601,monolith,109.06,3.051GiB,4GiB,76.27
1735068601,teasers,8.06,93.16MiB,7.654GiB,1.19
1735068601,recommendations,6.43,94.66MiB,7.654GiB,1.21
1735068601,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068601,discovery,0.73,27.17MiB,7.654GiB,0.35
1735068606,monolith,106.59,3.058GiB,4GiB,76.46
1735068606,teasers,10.08,93.33MiB,7.654GiB,1.19
1735068606,recommendations,5.92,95.41MiB,7.654GiB,1.22
1735068606,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068606,discovery,0.53,27.03MiB,7.654GiB,0.34
1735068612,monolith,108.69,3.076GiB,4GiB,76.91
1735068612,teasers,9.44,93.37MiB,7.654GiB,1.19
1735068612,recommendations,5.44,95.51MiB,7.654GiB,1.22
1735068612,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068612,discovery,0.57,27.21MiB,7.654GiB,0.35
1735068617,monolith,104.88,3.084GiB,4GiB,77.11
1735068617,teasers,8.76,93.66MiB,7.654GiB,1.20
1735068617,recommendations,6.20,96.3MiB,7.654GiB,1.23
1735068617,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068617,discovery,0.60,26.68MiB,7.654GiB,0.34
1735068622,monolith,104.43,3.093GiB,4GiB,77.31
1735068622,teasers,6.03,94.07MiB,7.654GiB,1.20
1735068622,recommendations,5.39,95.81MiB,7.654GiB,1.22
1735068622,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068622,discovery,0.56,27.3MiB,7.654GiB,0.35
1735068627,monolith,106.72,3.109GiB,4GiB,77.73
