timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734783167565,1,Homepage visit,200,OK,BasicTest 1-9,text,true,,7889,287,1,1,http://localhost:8080/;jsessionid=node062bqfvwb3ovx1cls31ld9jgay20275.node0?0,0,0,0
1734783167565,0,Homepage visit-0,302,Found,BasicTest 1-9,,true,,598,116,1,1,http://localhost:8080/,0,0,0
1734783167565,1,Homepage visit-1,200,OK,BasicTest 1-9,text,true,,7291,171,1,1,http://localhost:8080/;jsessionid=node062bqfvwb3ovx1cls31ld9jgay20275.node0?0,1,0,0
1734783167611,3,Homepage visit,200,OK,BasicTest 1-10,text,true,,7872,286,1,1,http://localhost:8080/;jsessionid=node0uoovz12j9mbw9zgr1vveh44l20276.node0?0,2,0,0
1734783167611,2,Homepage visit-0,302,Found,BasicTest 1-10,,true,,596,116,1,1,http://localhost:8080/,2,0,0
1734783167613,1,Homepage visit-1,200,OK,BasicTest 1-10,text,true,,7276,170,1,1,http://localhost:8080/;jsessionid=node0uoovz12j9mbw9zgr1vveh44l20276.node0?0,1,0,0
1734783167615,1,Homepage visit,200,OK,BasicTest 1-10,text,true,,7906,288,1,1,http://localhost:8080/;jsessionid=node01kolr7yr4v0a31br9o7v7hfp7820277.node0?0,0,0,0
1734783167615,0,Homepage visit-0,302,Found,BasicTest 1-10,,true,,600,116,1,1,http://localhost:8080/,0,0,0
1734783167616,0,Homepage visit-1,200,OK,BasicTest 1-10,text,true,,7306,172,1,1,http://localhost:8080/;jsessionid=node01kolr7yr4v0a31br9o7v7hfp7820277.node0?0,0,0,0
1734783167617,1,Homepage visit,200,OK,BasicTest 1-10,text,true,,7872,286,1,1,http://localhost:8080/;jsessionid=node07lwjwp1789zn1zahdcooo95w20278.node0?0,0,0,0
1734783167617,0,Homepage visit-0,302,Found,BasicTest 1-10,,true,,596,116,1,1,http://localhost:8080/,0,0,0
1734783167617,1,Homepage visit-1,200,OK,BasicTest 1-10,text,true,,7276,170,1,1,http://localhost:8080/;jsessionid=node07lwjwp1789zn1zahdcooo95w20278.node0?0,1,0,0
1734783167618,2,Homepage visit,200,OK,BasicTest 1-10,text,true,,7889,287,1,1,http://localhost:8080/;jsessionid=node01c77t3nbv37d1gpyxuvpe08aw20279.node0?0,1,0,0
1734783167618,1,Homepage visit-0,302,Found,BasicTest 1-10,,true,,598,116,1,1,http://localhost:8080/,1,0,0
1734783167619,1,Homepage visit-1,200,OK,BasicTest 1-10,text,true,,7291,171,1,1,http://localhost:8080/;jsessionid=node01c77t3nbv37d1gpyxuvpe08aw20279.node0?0,1,0,0
1734783167620,3,Homepage visit,200,OK,BasicTest 1-10,text,true,,7906,288,1,1,http://localhost:8080/;jsessionid=node01mnrdx3n2e4i915xc81vtqsp3u20280.node0?0,1,0,0
1734783167620,1,Homepage visit-0,302,Found,BasicTest 1-10,,true,,600,116,1,1,http://localhost:8080/,1,0,0
1734783167621,2,Homepage visit-1,200,OK,BasicTest 1-10,text,true,,7306,172,1,1,http://localhost:8080/;jsessionid=node01mnrdx3n2e4i915xc81vtqsp3u20280.node0?0,2,0,0
1734783167663,2,Homepage visit,200,OK,BasicTest 1-11,text,true,,7889,287,1,1,http://localhost:8080/;jsessionid=node0fppohh79q32r1mfp6mx29r7wm20281.node0?0,2,0,1
1734783167663,2,Homepage visit-0,302,Found,BasicTest 1-11,,true,,598,116,1,1,http://localhost:8080/,2,0,1
1734783167665,0,Homepage visit-1,200,OK,BasicTest 1-11,text,true,,7291,171,1,1,http://localhost:8080/;jsessionid=node0fppohh79q32r1mfp6mx29r7wm20281.node0?0,0,0,0
1734783167666,1,Homepage visit,200,OK,BasicTest 1-11,text,true,,7906,288,1,1,http://localhost:8080/;jsessionid=node012p8tzll8uxn112qyzriamaaj120282.node0?0,0,0,0
1734783167666,0,Homepage visit-0,302,Found,BasicTest 1-11,,true,,600,116,1,1,http://localhost:8080/,0,0,0
1734783167667,0,Homepage visit-1,200,OK,BasicTest 1-11,text,true,,7306,172,1,1,http://localhost:8080/;jsessionid=node012p8tzll8uxn112qyzriamaaj120282.node0?0,0,0,0
