idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"215","http://localhost:8080/","2024-12-11","15:33:37","1309","8829","4565.400000002235","1082.1000000014901","332.69999999925494","40","3782.300000000745","1","90",""
"216","http://localhost:8080/","2024-12-11","15:33:47","1309","8809","4568.599999997765","1085.3999999985099","334.19999999925494","43","3783.800000000745","1","93",""
"217","http://localhost:8080/","2024-12-11","15:33:56","1287","8827","4568.800000000745","1068.800000000745","339.5","42","3778.800000000745","1","92",""
"218","http://localhost:8080/","2024-12-11","15:34:06","1325","8819","4581.5","1098.2000000029802","334.4000000022352","43","3794","1","93",""
"219","http://localhost:8080/","2024-12-11","15:34:15","1332","8820","4582.79999999702","1099.3999999985099","328.29999999701977","43","3794.5","1","93",""
"220","http://localhost:8080/","2024-12-11","15:34:25","1305","8790","4553.5","1070.0999999977648","327.8999999985099","41","3763.89999999851","1","91",""
"221","http://localhost:8080/","2024-12-11","15:34:34","1309","8805","4551.800000000745","1085.1000000014901","332.5","41","3779.60000000149","1","91",""
"222","http://localhost:8080/","2024-12-11","15:34:44","1302","8798","4565.39999999851","1082","332.5999999977648","42","3772.5","1","92",""
"223","http://localhost:8080/","2024-12-11","15:34:53","1287","8797","4576.199999999255","1059.5999999977648","332.8999999985099","41","3772.699999999255","1","91",""
"224","http://localhost:8080/","2024-12-11","15:35:03","1341","8827","4601.39999999851","1101.3999999985099","332.8999999985099","42","3802.699999999255","1","92",""
"225","http://localhost:8080/","2024-12-11","15:35:12","1356","8893","4635.900000002235","1119.300000000745","335.5","37","3847.2000000029802","1","87",""
"226","http://localhost:8080/","2024-12-11","15:35:22","1318","8812","4587.5","1070.800000000745","342","44","3788.199999999255","1","94",""
"227","http://localhost:8080/","2024-12-11","15:35:31","1332","8826","4596.099999997765","1096.199999999255","339.8999999985099","40","3802.199999999255","1","90",""
"228","http://localhost:8080/","2024-12-11","15:35:41","1337","8827","4617.599999997765","1100.8999999985099","341","40","3802.7999999970198","1","90",""
"229","http://localhost:8080/","2024-12-11","15:35:50","1339","8857","4603.10000000149","1103.1000000014901","345.9000000022352","38","3810","1","88",""
"230","http://localhost:8080/","2024-12-11","15:36:00","1351","8831","4605.599999997765","1105.5","331.5","39","3805.099999997765","1","89",""
"231","http://localhost:8080/","2024-12-11","15:36:09","1333","8841","4595.199999999255","1095.300000000745","340.0999999977648","38","3796","1","88",""
"232","http://localhost:8080/","2024-12-11","15:36:19","1319","8837","4584.89999999851","1085","342.5999999977648","38","3790.300000000745","1","88",""
"233","http://localhost:8080/","2024-12-11","15:36:28","1317","8807","4565.199999999255","1081.8999999985099","332.80000000074506","39","3782.60000000149","1","89",""
"234","http://localhost:8080/","2024-12-11","15:36:38","1332","8882","4628.60000000149","1095.2000000029802","342.1000000014901","48","3833.10000000149","1","98",""
"235","http://localhost:8080/","2024-12-11","15:36:47","1326","8845","4597.800000000745","1081.1000000014901","342.6000000014901","38","3799","1","88",""
"236","http://localhost:8080/","2024-12-11","15:36:57","1323","8857","4615.5","1098.800000000745","340","38","3810.60000000149","1","88",""
"237","http://localhost:8080/","2024-12-11","15:37:06","1331","8831","4602.60000000149","1085.800000000745","346.69999999925494","38","3807.199999999255","1","88",""
"238","http://localhost:8080/","2024-12-11","15:37:16","1327","8853","4600.199999999255","1100.199999999255","342.19999999925494","38","3805.699999999255","1","88",""
